checkpoint,step,task,accuracy,centered
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,hellaswag_zeroshot,0.352000,0.136000
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,jeopardy,0.008000,0.008000
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,bigbench_qa_wikidata,0.294000,0.294000
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,arc_easy,0.544000,0.392000
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,arc_challenge,0.276000,0.034667
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,copa,0.590000,0.180000
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,commonsense_qa,0.252000,0.065000
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,piqa,0.676000,0.352000
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,openbook_qa,0.304000,0.072000
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,lambada_openai,0.282000,0.282000
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,hellaswag,0.352000,0.136000
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,winograd,0.593407,0.186813
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,winogrande,0.512000,0.024000
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,bigbench_dyck_languages,0.068000,0.068000
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,agi_eval_lsat_ar,0.204348,0.005435
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,bigbench_cs_algorithms,0.442000,0.442000
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,bigbench_operators,0.095238,0.095238
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,bigbench_repeat_copy_logic,0.031250,0.031250
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,squad,0.206000,0.206000
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,coqa,0.158000,0.158000
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,boolq,0.564000,-0.147368
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,bigbench_language_identification,0.258000,0.183718
/root/nanochat/out/research_sweep_20260421_074957/depth_12/ckpt_base/base,4410,CORE,,0.145671
